"Gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","regulation"
"PDK4",447.652242906881,-2.06801353922924,0.468966471150645,-4.4097257830719,1.03501596338636e-05,0.000116492431423579,"Yes","Downregulated"
"CALCR",2.38815767380804,1.91370019413084,0.536285859054268,3.56843306945594,0.000359122564872549,0.00206598277062652,"Yes","Upregulated"
"PRSS22",1018.48354127266,-1.36336362444206,0.261279030448451,-5.21803690905476,1.80829435791781e-07,4.94057704707845e-06,"Yes","Downregulated"
"SPPL2B",1432.88990215039,-1.06537962256269,0.189594599302439,-5.61925089893098,1.91787175249993e-08,8.65560831085122e-07,"Yes","Downregulated"
"SOX8",10.5040257359538,-1.14010055176946,0.27118314655971,-4.20417185298211,2.62039793967223e-05,0.000241443596645693,"Yes","Downregulated"
"AC003665.1",397.763609971602,-1.00695201031378,0.20946725450638,-4.80720489074395,1.5305510877013e-06,2.58478781729724e-05,"Yes","Downregulated"
"YBX2",19.8110295986087,-1.11537542963479,0.295647274641316,-3.77265588187135,0.000161518989728405,0.00106671563011652,"Yes","Downregulated"
"ABCC8",173.603516639229,-2.03157660870497,0.383493831306019,-5.29754703429329,1.17368678901682e-07,3.5068428948823e-06,"Yes","Downregulated"
"TAC1",16.5098312494677,-2.21070589867359,0.743297379540635,-2.97418766636824,0.00293765350198276,0.0112905522503957,"Yes","Downregulated"
"CX3CL1",56.9409784818003,-1.16360824199855,0.348878653971259,-3.33528070219627,0.000852133351534393,0.00414649877029932,"Yes","Downregulated"
"USH1C",83.1073237530368,-1.60422914055894,0.45431574891176,-3.53108855328394,0.000413853170185572,0.00231529919243626,"Yes","Downregulated"
"PROM1",719.392427222843,-1.64452775792053,0.458546881485752,-3.58638958047657,0.000335287941016997,0.00194744797340219,"Yes","Downregulated"
"BAIAP3",668.391306271652,-1.37134279475393,0.32841085023431,-4.17569271470637,2.97080624633746e-05,0.000266664876315165,"Yes","Downregulated"
"PSMB1",199.549669501226,-1.08782034210241,0.180782604086885,-6.01728439302489,1.7736731740365e-09,1.52039936961129e-07,"Yes","Downregulated"
"DLEC1",932.864846906433,-1.94772025682824,0.395583824743335,-4.92366000579517,8.49403631289628e-07,1.64599885263176e-05,"Yes","Downregulated"
"CYTH3",151.576698205282,-1.2740710468453,0.244587796705707,-5.20905402479377,1.89805846273871e-07,5.13156702773618e-06,"Yes","Downregulated"
"IL32",11680.3057367069,1.06288638097167,0.205646321026597,5.16851639098469,2.35959597253609e-07,6.10798328973823e-06,"Yes","Upregulated"
"HHATL",190.394027859213,-1.56217914757525,0.395831847939727,-3.94657265630915,7.9277871927153e-05,0.000596908875123516,"Yes","Downregulated"
"GIPR",233.161054133484,-1.57301874036412,0.306620236653341,-5.13018565745401,2.89456548865019e-07,7.12299401268246e-06,"Yes","Downregulated"
"DPF1",46.6144624475439,-1.10234628508631,0.221491366267428,-4.9769266570659,6.46017856006138e-07,1.32778692745262e-05,"Yes","Downregulated"
"TYROBP",27645.725955365,1.12952132067834,0.204222485665016,5.53083719944081,3.18706012146208e-08,1.28670438430546e-06,"Yes","Upregulated"
"LTF",1051.01690359498,-1.01853631092652,0.373453336393846,-2.72734559225458,0.00638461311422613,0.0210996706371292,"Yes","Downregulated"
"CD6",735.847089987265,1.14778644024981,0.172930979921775,6.63725169873556,3.19585673527089e-11,7.70712810277929e-09,"Yes","Upregulated"
"DPEP1",150.66308515297,-1.03430703898069,0.325802594134006,-3.17464335030822,0.00150020768412586,0.00656209344202766,"Yes","Downregulated"
"CLCA4",13.898978553823,-2.0161826098476,0.474584761201805,-4.24830878417158,2.15390379544503e-05,0.000206562343309726,"Yes","Downregulated"
"SLC11A1",3419.08381581337,-1.34679012598227,0.290172171140893,-4.64134834394004,3.46143023412579e-06,4.9257976903724e-05,"Yes","Downregulated"
"ATP1A2",528.267524270821,-1.20043926317976,0.288500963129624,-4.16095409234528,3.16920794156425e-05,0.000281539607264601,"Yes","Downregulated"
"CYP24A1",200.728607359963,-2.81972430977503,0.477004941461964,-5.91131048062712,3.39396607692163e-09,2.3252524406546e-07,"Yes","Downregulated"
"CD74",168448.989002297,1.09212709148927,0.169638616051033,6.43796275230589,1.21087703934892e-10,2.12365513423386e-08,"Yes","Upregulated"
"HSD17B6",1412.83709175381,1.1600676238211,0.280645193720505,4.1335738141178,3.57165513895889e-05,0.000310579454318988,"Yes","Upregulated"
"SLAMF7",811.980014936397,1.34272715801419,0.286717448763347,4.68310234973687,2.82565331921674e-06,4.16524788791142e-05,"Yes","Upregulated"
"GRN",10227.3315441726,1.22300371131156,0.259351056788238,4.71563033695349,2.40963581031997e-06,3.69239991345441e-05,"Yes","Upregulated"
"LRRC7",108.504179708126,-1.0009895513399,0.204584532654569,-4.8927919347159,9.94154916160264e-07,1.85949120667949e-05,"Yes","Downregulated"
