"Gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","regulation"
"TSPAN6",1121.21360902589,-0.361256075467169,0.122442745250483,-2.95040816610361,0.00317354371786358,0.00791183201090209,"No","Not significant"
"TNMD",1.8623359919237,-1.42359904169038,0.700996676285536,-2.03082138596404,0.0422731167853096,0.0770192995594693,"No","Not significant"
"DPM1",1757.55947146769,-0.161194672209273,0.0555477651126604,-2.90191102886574,0.00370893861832344,0.00907728311184209,"No","Not significant"
"SCYL3",159.061936644764,-0.450503772162901,0.0943987787949923,-4.7723474595076,1.82091011536299e-06,9.60962821644178e-06,"No","Not significant"
"C1orf112",92.511695042485,-0.183713343857449,0.0721495683257331,-2.54628472658408,0.0108876342517353,0.0236010728231599,"No","Not significant"
"FGR",2264.79839082927,0.216321620974737,0.120492563735599,1.79531096582374,0.0726041688704989,0.122947816096761,"No","Not significant"
"CFH",6084.39332213872,-0.617712321860794,0.0826069719269239,-7.47772624333981,7.5619513072619e-14,1.68849682918262e-12,"No","Not significant"
"FUCA2",1583.31896075593,0.065316100441722,0.0612584524436896,1.06623817344655,0.286315990006852,0.389539035938558,"No","Not significant"
"GCLC",878.593076619134,-0.410459542028263,0.127472576582182,-3.21998309780488,0.00128198155056583,0.00349535647426255,"No","Not significant"
"NFYA",449.99943334859,-0.252575646195352,0.0732419890463116,-3.44850883330934,0.00056369103213738,0.00167711625704337,"No","Not significant"
"STPG1",171.466980639984,0.216686412167983,0.157727530115079,1.3738021004316,0.169503128884285,0.253290898230506,"No","Not significant"
"NIPAL3",505.800248532468,-0.10932770373068,0.0663890831248176,-1.64677230931377,0.0996048550315869,0.161155343888027,"No","Not significant"
"LAS1L",910.958000273278,0.1829619144497,0.0346765092335026,5.27624949840488,1.31854542432788e-07,8.86390584296969e-07,"No","Not significant"
"SEMA3F",903.555043623699,0.532809496908197,0.100824304179838,5.28453433170081,1.26024914217223e-07,8.50644884766292e-07,"No","Not significant"
"CFTR",344.385331332835,-0.201741038876386,0.11316051982101,-1.78278642759407,0.0746210759509734,0.126001104950035,"No","Not significant"
"ANKIB1",106.802516048505,-0.883399396104198,0.131023145880117,-6.74231556699524,1.55882054181417e-11,2.27229506753678e-10,"No","Not significant"
"CYP51A1",53.4230773005182,-1.08568394067225,0.237464194021404,-4.571990085269,4.83113803595361e-06,2.30153198296017e-05,"Yes","Downregulated"
"KRIT1",724.630104040124,-0.369217865216921,0.060859904836495,-6.06668489227602,1.30577387770571e-09,1.32499777090526e-08,"No","Not significant"
"RAD52",395.552027606663,0.0531480019862372,0.109453250576567,0.485577191232506,0.627266971268332,0.720930734345336,"No","Not significant"
"BAD",3509.09680958108,0.399012042150347,0.0643775023294592,6.1980043914776,5.71835457450012e-10,6.21700870852647e-09,"No","Not significant"
"LAP3",4486.91843308413,0.229106192900703,0.0962445711785904,2.38045834788516,0.0172911157060209,0.0354537750752662,"No","Not significant"
"CD99",1739.64656417981,0.187064951576023,0.0823674785799003,2.27110207573685,0.023140799375519,0.0457827881925753,"No","Not significant"
"HS3ST1",92.8653271371842,-0.366042710861248,0.228631951734031,-1.60101292966728,0.10937405542318,0.17477840090152,"No","Not significant"
"AOC1",60.9858389127085,0.00932331308747012,0.143888279504157,0.0647955005063548,0.948336823999511,0.968377709529326,"No","Not significant"
"WNT16",2.96018908086564,0.236900272095695,0.392931279768679,0.602905098914903,0.546571823744734,0.649520778184617,"No","Not significant"
"HECW1",16.2192419847659,-0.383535555079428,0.177710006053615,-2.15821024148587,0.0309114895021035,0.0586595694291865,"No","Not significant"
"MAD1L1",1048.73923026929,0.892282638227438,0.0982022343394791,9.08617450742385,1.02585029077108e-19,6.04424372933348e-18,"No","Not significant"
"LASP1",735.757133357379,0.960649200587928,0.11852216651843,8.10522815104421,5.26466308476884e-16,1.69294139512857e-14,"No","Not significant"
"SNX11",840.344361097961,0.223166801336582,0.0445989066618793,5.00386260650943,5.61928143667097e-07,3.29278714920742e-06,"No","Not significant"
"TMEM176A",1528.23668277018,0.227079288745403,0.113331488985584,2.00367339014039,0.0451050585397389,0.0814178932756504,"No","Not significant"
"M6PR",3529.38852629743,0.299530819845548,0.058438771596076,5.12554955665188,2.96671117688009e-07,1.85604720952904e-06,"No","Not significant"
"KLHL13",162.246515229284,-0.812336824491751,0.138175934776941,-5.87900364707585,4.12743279148335e-09,3.76937799682217e-08,"No","Not significant"
"CYP26B1",123.447604955021,-0.443992283613897,0.196250527393808,-2.26237498319154,0.0236742452171269,0.046686470404969,"No","Not significant"
"ICA1",741.470092013538,0.024876258726939,0.0588460437321402,0.422734599460461,0.672488908737763,0.759491603696355,"No","Not significant"
"DBNDD1",219.556545916427,0.250388671769615,0.106332332154938,2.3547745703985,0.0185339455918178,0.0376519503482774,"No","Not significant"
"ALS2",149.507660458647,-0.403953548000186,0.0860176866180083,-4.6961684728175,2.65086926403754e-06,1.34381937223436e-05,"No","Not significant"
"CASP10",534.681476470879,-0.250579406264244,0.0743167445729553,-3.37177587237093,0.000746851992033762,0.00215842589153428,"No","Not significant"
"CFLAR",4485.31178948691,0.0292180678235918,0.0737191306628505,0.396343087077609,0.691851945352796,0.776160910378283,"No","Not significant"
"TFPI",1974.72425226405,0.0826731879167503,0.0932350838423224,0.886717580010608,0.37523097105132,0.484181821706278,"No","Not significant"
"NDUFAF7",265.599728962393,-0.13868839871021,0.0896356802722253,-1.54724545280418,0.12180406947534,0.191673242781691,"No","Not significant"
"RBM5",4183.60657913323,0.0666417803108903,0.0648844313183475,1.02708429367163,0.304380773749242,0.409355267124561,"No","Not significant"
"MTMR7",14.1722055002064,-0.129839666689486,0.205384776495796,-0.632177656517517,0.527270795725912,0.632178093995916,"No","Not significant"
"SLC7A2",471.789743286922,-0.437165234568852,0.136477437458196,-3.20320517963094,0.00135907114755617,0.00367918104492565,"No","Not significant"
"ARF5",596.390053635585,0.0236068168710613,0.0842765617655491,0.280111295198939,0.779392119141813,0.845093324792236,"No","Not significant"
"SARM1",238.680203202629,-0.334876862359976,0.0772636690806374,-4.33420864352787,1.46285386224706e-05,6.24422196633384e-05,"No","Not significant"
"POLDIP2",4.13833647950777,-1.45158341461819,0.849050070913242,-1.70965584286079,0.0873295327187921,0.143998728456147,"No","Not significant"
"PLXND1",6895.25788956921,0.462740988280174,0.0842086354961554,5.49517262159296,3.90328415024765e-08,2.91350572146601e-07,"No","Not significant"
"AK2",4430.99992542647,-0.0682487239364104,0.0453438860394917,-1.50513619139237,0.132289065998204,0.20591953216782,"No","Not significant"
"CD38",204.831925777423,-0.285829790026145,0.196282003761445,-1.45622005353855,0.145331797625059,0.222467757594846,"No","Not significant"
"FKBP4",257.54247938855,-0.634688373568253,0.140996182903778,-4.50145784443961,6.74889518280772e-06,3.11993046984095e-05,"No","Not significant"
"KDM1A",1492.32169292005,0.00455779016344525,0.0342257641328902,0.133168397519146,0.894060203334252,0.930909224370089,"No","Not significant"
"RBM6",3592.85192271024,0.777701535339683,0.113979811247091,6.8231516338779,8.90645570123189e-12,1.36359105937134e-10,"No","Not significant"
"CAMKK1",267.564830408253,0.255615167282907,0.0859363576925754,2.97447057504267,0.00293494602836762,0.00737369865311342,"No","Not significant"
"RECQL",227.884738936279,-1.28096982241553,0.188964796666195,-6.77888074929825,1.21110437929269e-11,1.80725665749845e-10,"Yes","Downregulated"
"VPS50",124.747601838669,-0.210882311899004,0.0749644559906907,-2.81309734209492,0.00490667951603424,0.0116209156328275,"No","Not significant"
"HSPB6",8.68396161144254,-0.24120359869904,0.353583425231009,-0.682168850368065,0.495132188869205,0.602527503700911,"No","Not significant"
"ARHGAP33",536.211689048037,-0.24175219000961,0.121761396534062,-1.98545842024718,0.0470934917991069,0.0844704534725217,"No","Not significant"
"NDUFAB1",152.169977568945,0.104059551375855,0.114921154857967,0.905486474657025,0.365207722062402,0.473926752644389,"No","Not significant"
"PDK4",330.762815113325,-1.23771485409919,0.254504899099485,-4.86322604585843,1.15487829134089e-06,6.32309711970665e-06,"Yes","Downregulated"
"SLC22A16",69.282890021096,0.150403663761963,0.142255482763328,1.05727850231397,0.290384501522439,0.394222753107429,"No","Not significant"
"ZMYND10",3764.58097269116,-0.0435457258972242,0.28880614128468,-0.150778393089296,0.880150531202038,0.921116151268299,"No","Not significant"
"ABCB5",12.3384954265561,-0.212887471849117,0.205298535848501,-1.03696536835614,0.299751997307433,0.404713943733018,"No","Not significant"
