"Gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","regulation"
"CYP51A1",53.4230773005182,-1.08568394067225,0.237464194021404,-4.571990085269,4.83113803595361e-06,2.30153198296017e-05,"Yes","Downregulated"
"RECQL",227.884738936279,-1.28096982241553,0.188964796666195,-6.77888074929825,1.21110437929269e-11,1.80725665749845e-10,"Yes","Downregulated"
"PDK4",330.762815113325,-1.23771485409919,0.254504899099485,-4.86322604585843,1.15487829134089e-06,6.32309711970665e-06,"Yes","Downregulated"
"SKAP2",23.4982229284938,-1.21198279168892,0.224583084964911,-5.39658982722713,6.79194152471372e-08,4.84507017810585e-07,"Yes","Downregulated"
"DHX33",27.3894966993297,-1.10731576927924,0.186493516080648,-5.93755639633277,2.89301544007509e-09,2.7407119820006e-08,"Yes","Downregulated"
"ITGA3",2700.39912942374,1.14959665309923,0.120405882045053,9.54767851514996,1.32635003372499e-21,1.12156404472162e-19,"Yes","Upregulated"
"TAC1",22.8867557771901,-1.01807637938657,0.432255567362964,-2.35526493180294,0.0185095038510441,0.0376099775102148,"Yes","Downregulated"
"CCDC124",600.618806968637,1.1579791394352,0.103399067265831,11.1991255826141,4.11777743748094e-29,2.03273526744836e-26,"Yes","Upregulated"
"MMP25",170.817127008169,-1.4038578697385,0.250401631790134,-5.60642460555169,2.06548887259834e-08,1.62332849647198e-07,"Yes","Downregulated"
"IL32",10614.7381929305,1.01253373332091,0.165108947340104,6.13251885880669,8.64984512304707e-10,9.13761834427153e-09,"Yes","Upregulated"
"IGF1",911.967589553713,-1.02961782292722,0.180400912664121,-5.70738699556478,1.14723738254189e-08,9.55072506478016e-08,"Yes","Downregulated"
"AGPS",80.6999453112,-1.32327098451786,0.210680944936258,-6.28092391040975,3.36566845114244e-10,3.82776676588523e-09,"Yes","Downregulated"
"GCLM",348.949271361086,-1.06371748972252,0.188892645188911,-5.63133354746926,1.78821508883761e-08,1.42379026144808e-07,"Yes","Downregulated"
"NR1H3",2247.02587039722,1.22332376686036,0.128197616734748,9.54248447060857,1.3945073988019e-21,1.16837970821636e-19,"Yes","Upregulated"
"MIPEP",321.345060280975,1.27323255337069,0.154067759640808,8.26410766495913,1.40743545675002e-16,4.9627043663203e-15,"Yes","Upregulated"
"GRN",9348.39890593704,1.62406679772709,0.157777056020223,10.293428199845,7.54415607500832e-25,1.23030366705381e-22,"Yes","Upregulated"
"UBA6",114.05222506586,-1.43306523634585,0.229477070141414,-6.2449169124511,4.24025456782494e-10,4.71554942748787e-09,"Yes","Downregulated"
"AGA",200.064091548445,-1.01533410588245,0.215866536765118,-4.70352710104032,2.55705136043602e-06,1.30423186535504e-05,"Yes","Downregulated"
"CDH1",470.146643869319,1.05399871936108,0.164712300758315,6.39902857593878,1.5636857919449e-10,1.90695075184709e-09,"Yes","Upregulated"
"ATP6V1H",750.223676035788,1.14093877590812,0.122447591260327,9.31777231519772,1.18808494795221e-20,8.32599391908268e-19,"Yes","Upregulated"
"NEXMIF",1.94452339212352,-1.94194371247472,0.530892756493989,-3.65788323295141,0.000254306848249822,0.000818054699415816,"Yes","Downregulated"
"LAMC3",647.349649082747,1.9117777913656,0.25364058412375,7.53734974223547,4.79618763404631e-14,1.10889072323868e-12,"Yes","Upregulated"
"CBLN4",111.845474585043,-1.39954731592376,0.264934884349675,-5.28260866574508,1.27357246938871e-07,8.59284760720355e-07,"Yes","Downregulated"
"EIF2AK2",38.0793203167734,-1.1912697201555,0.209151235714061,-5.69573359721449,1.22842563821997e-08,1.0175598313872e-07,"Yes","Downregulated"
"ITIH4",767.086965728878,1.1187150534149,0.149456201404665,7.48523676435401,7.14182674569191e-14,1.60472895680975e-12,"Yes","Upregulated"
"HPF1",158.18683170628,1.0766406716455,0.225335428439676,4.77794672191872,1.77094287023158e-06,9.36758515052991e-06,"Yes","Upregulated"
"SOAT1",222.152823847337,-1.40285829926866,0.244224118859176,-5.74414314942241,9.23876074578095e-09,7.84864953589251e-08,"Yes","Downregulated"
"TMCC3",56.6698005937988,-1.17770131616095,0.243380649986985,-4.8389274834459,1.30541662446031e-06,7.09203885953823e-06,"Yes","Downregulated"
"USP13",9.02757551572919,-1.59593344842303,0.357577612581221,-4.46318055792859,8.07519505345515e-06,3.66716652539429e-05,"Yes","Downregulated"
"SEC61A1",2503.59936989725,1.3505389866164,0.144732028898497,9.33130694632602,1.04573357836183e-20,7.40322628247241e-19,"Yes","Upregulated"
"SNRNP40",632.446786551508,1.08065949227877,0.113005791306062,9.56286823700866,1.14537520689264e-21,9.77583091303458e-20,"Yes","Upregulated"
"COL11A1",33.1552631466835,-1.07933769326473,0.330449201252415,-3.26627417822163,0.00108972683939097,0.0030212296177104,"Yes","Downregulated"
"APPBP2",39.5804928540807,-1.39640716470202,0.186738868693971,-7.47786025731184,7.55424612728123e-14,1.68849682918262e-12,"Yes","Downregulated"
"CA11",401.433496756803,1.09728284756967,0.130205579993378,8.42731047029993,3.5370050858432e-17,1.40442169332448e-15,"Yes","Upregulated"
"CHI3L2",697.313711133771,1.38846252981232,0.197698368600515,7.02313600077275,2.16942851885107e-12,3.67916545002923e-11,"Yes","Upregulated"
"HMG20B",609.413807817302,1.00588436569491,0.147254792441314,6.83091089273571,8.43771344392615e-12,1.29945055694192e-10,"Yes","Upregulated"
"WDR3",165.165435275376,-1.05527075214809,0.230782081946226,-4.57258528586275,4.81743036826657e-06,2.29560046116329e-05,"Yes","Downregulated"
"WDR18",1375.283448319,1.00796503413312,0.108830649062585,9.26177545402189,2.01060663924994e-20,1.35013714212868e-18,"Yes","Upregulated"
"GLP2R",2.58118923155334,-1.18939144248797,0.38954807052972,-3.05325974499269,0.00226369906267853,0.00582919263778703,"Yes","Downregulated"
"ANKRD44",370.564718395928,-1.06739314473287,0.190342097241482,-5.60776181518426,2.04959824297854e-08,1.61292166772956e-07,"Yes","Downregulated"
"COL17A1",362.107920827923,1.70795944874939,0.255482589699954,6.68522833886748,2.30564856164795e-11,3.27470225338257e-10,"Yes","Upregulated"
"ASB1",905.803811566168,1.10719035657748,0.102619760795605,10.78925099799,3.869301064447e-27,1.1042622490957e-24,"Yes","Upregulated"
"CLDN18",205.384377398784,3.9658186042411,0.347250606874212,11.4206239693561,3.29857132337204e-30,2.23142241560705e-27,"Yes","Upregulated"
"GOLGA5",290.682317304176,1.24761343466747,0.140357486263538,8.88882715044443,6.17573134439677e-19,3.25071276672643e-17,"Yes","Upregulated"
"ATG2B",180.309387213579,-1.0186369562504,0.158850041080848,-6.41256967464023,1.43086993799786e-10,1.76467518011687e-09,"Yes","Downregulated"
"TRAM1",257.601147515896,-1.42474804992479,0.207172618994665,-6.87710594594297,6.10806855668494e-12,9.67596463034262e-11,"Yes","Downregulated"
"PRKCZ",1043.65021466974,1.05202292404367,0.126580173261806,8.31111932409638,9.48035359600165e-17,3.47708149459779e-15,"Yes","Upregulated"
"COASY",1749.34014374893,1.03457761196021,0.0920145167193018,11.2436346877339,2.4891820131181e-29,1.28024467730187e-26,"Yes","Upregulated"
"NUCKS1",189.11549262529,1.2144605322196,0.45296300069015,2.68114731306796,0.00733702092045836,0.0166060330994017,"Yes","Upregulated"
"FUNDC1",66.2733857339316,1.31039288504161,0.4480192081145,2.92485871433154,0.00344612645070673,0.00850472903961066,"Yes","Upregulated"
"MAPK6",51.5790228107832,-1.01393707909486,0.15291849560091,-6.63057189459315,3.34388754605955e-11,4.61997776314506e-10,"Yes","Downregulated"
"FGF10",127.830349339212,-1.08994501338799,0.174534740791609,-6.24485995421029,4.24180000512596e-10,4.71554942748787e-09,"Yes","Downregulated"
"DGCR2",421.289036513242,1.39846103645942,0.143803138772816,9.72482971090601,2.36300446326875e-22,2.33298792008669e-20,"Yes","Upregulated"
"SEL1L",97.0825965239486,-1.06895141756158,0.182789834644301,-5.84798065845236,4.97576392038075e-09,4.47696197072682e-08,"Yes","Downregulated"
"SELENOO",990.286796747454,1.08071238352114,0.104075050268897,10.3839717658451,2.93312784013963e-25,5.15130576924523e-23,"Yes","Upregulated"
"SDHA",1323.19104812868,1.769367184958,0.145317216693111,12.175895088155,4.1778547878615e-34,1.09012168143272e-30,"Yes","Upregulated"
"SMARCE1",19.7413528354544,-1.28868499594129,0.387032162812007,-3.32965866861883,0.000869525060172763,0.00247574048699228,"Yes","Downregulated"
"PTGS2",98.4506705704348,-1.39061932133208,0.265124246477402,-5.24516086253398,1.56146030388165e-07,1.03371049113441e-06,"Yes","Downregulated"
"CA12",72.6166825618155,-1.13287085505116,0.277396113996067,-4.08394637809246,4.42772521775631e-05,0.000170437093998565,"Yes","Downregulated"
"LMAN1",150.194349781968,-1.00059035509673,0.136640021932105,-7.32282051003993,2.42812481334083e-13,4.97193943000788e-12,"Yes","Downregulated"
"SLC12A1",6.340241547451,-1.17631486671998,0.368785268903245,-3.18970134088679,0.00142419893055852,0.0038406900142701,"Yes","Downregulated"
"SEMA3A",24.7233413404362,-1.30911330669744,0.306025095977003,-4.27779722613277,1.88751838591373e-05,7.87112404536854e-05,"Yes","Downregulated"
"SEMA3C",200.302078638533,-1.71731071276661,0.280839084398834,-6.1149277581598,9.66007147156789e-10,1.00996683130044e-08,"Yes","Downregulated"
"ACTB",47021.5138844011,3.48780160247627,0.279328606746876,12.4863745360563,8.85998626386832e-36,4.04569122773887e-32,"Yes","Upregulated"
"MKRN2",18.1496404792655,-1.24274187828946,0.464184507869296,-2.67725841173352,0.00742273614978834,0.016785474282021,"Yes","Downregulated"
"NMRK2",13.6922514184363,1.09661835436016,0.25372187052226,4.32212781697881,1.54531618078236e-05,6.56400000976506e-05,"Yes","Upregulated"
"TM9SF3",117.640889929509,-1.16106933855174,0.170538153127758,-6.80826734227581,9.87811749369899e-12,1.50103008338113e-10,"Yes","Downregulated"
"PPP1R12B",437.78699779338,-1.0760634896088,0.149680962111033,-7.18904712017138,6.52450561086749e-13,1.22476973260529e-11,"Yes","Downregulated"
"PAK3",27.4748715485404,-1.0271486009357,0.255131739870392,-4.0259538129497,5.6744827222246e-05,0.000213172412425817,"Yes","Downregulated"
"ARAF",1410.96068698561,1.54162829546425,0.130894373717497,11.7776513358127,5.08913947113509e-32,6.63950946002018e-29,"Yes","Upregulated"
"LAMP3",23.5567849108815,-2.65297186203815,0.500409728048713,-5.30159929620692,1.1479258285529e-07,7.82345718601442e-07,"Yes","Downregulated"
"DCT",2.80652022678266,-1.15176314286936,0.369037945054424,-3.12098839239825,0.00180245138751507,0.00474687565353482,"Yes","Downregulated"
"SCTR",1197.7284090569,1.64714873890771,0.236322432177766,6.96992123739102,3.17118474354336e-12,5.22758929068768e-11,"Yes","Upregulated"
"COL5A3",25.5647616184525,-1.05978255949028,0.253028254347865,-4.18839612288232,2.80932846729949e-05,0.000112799262376842,"Yes","Downregulated"
"PUM3",736.68023937127,1.42137482239418,0.153928978873575,9.23396512336756,2.60794746442134e-20,1.72587537817593e-18,"Yes","Upregulated"
"STK17B",79.3679883498598,-1.25299463848002,0.207203427657882,-6.04717138438884,1.47410925794808e-09,1.48018722355259e-08,"Yes","Downregulated"
"KCNK2",18.3506078940621,-1.05186947857525,0.269331211323366,-3.9054867551624,9.40359090945716e-05,0.000334417032634803,"Yes","Downregulated"
