"Gene_Symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","regulation"
"BHLHE23",64.1798300225186,7.61733659519205,0.353352808029865,21.5573116219533,4.5211916943977e-103,9.8778996139201e-99,"Yes","Up-regulated"
"POU3F3",76.7413130191167,6.66248875551038,0.316067854185438,21.0792988508141,1.231949972026e-98,1.3457821494412e-94,"Yes","Up-regulated"
"AJM1",42.6212944186039,3.98496643077568,0.19796018166448,20.1301413105881,4.01847078432974e-90,2.9265183232012e-86,"Yes","Up-regulated"
"SLC18A3",87.0628249553541,6.94286012487684,0.34612117544565,20.0590446855427,1.6828602387683e-89,9.19178262415247e-86,"Yes","Up-regulated"
"LINC01124",151.266639065796,5.08395043311252,0.253687343354506,20.0402210291119,2.45674304751516e-89,1.07349844204222e-85,"Yes","Up-regulated"
"CTRB2",125.717791303267,6.8721528181788,0.357261434173581,19.2356413562396,1.86225401924669e-82,6.78108763541696e-79,"Yes","Up-regulated"
"UTS2R",87.6287789429962,5.94656464464801,0.310689304240672,19.1399078226444,1.1747772189945e-81,3.66664752579882e-78,"Yes","Up-regulated"
"CTRB1",131.857959188147,6.8744646455682,0.360253683655183,19.0822882803555,3.54397841860522e-81,9.67860506121084e-78,"Yes","Up-regulated"
"MST1L",247.387175428359,5.85063526834682,0.31153196942768,18.7802082691389,1.09649150531749e-78,2.66179404535295e-75,"Yes","Up-regulated"
"UNC5A",92.3616129479608,4.84228703136286,0.259742424886703,18.6426496690905,1.44883332467758e-77,3.16541104775558e-74,"Yes","Up-regulated"
"MAFA",30.1586708381622,6.36946739734425,0.341949563073002,18.626920707556,1.94391449324633e-77,3.86096762258598e-74,"Yes","Up-regulated"
"C1QTNF12",65.359309425016,5.41317019440684,0.290865516484807,18.6105601648024,2.63844607204193e-77,4.80373081516433e-74,"Yes","Up-regulated"
"PTGES2-AS1",170.995247445347,5.79856478654089,0.312799160189054,18.5376609804076,1.02587396959857e-76,1.72409957598381e-73,"Yes","Up-regulated"
"CDH16",162.973579833556,7.00940616931121,0.379510364695771,18.4696040513418,3.62734931483044e-76,5.66073770217254e-73,"Yes","Up-regulated"
"NTN3",51.5235586762332,4.62418745127974,0.250882579579186,18.431680107228,7.31748587890208e-76,1.06581620988168e-72,"Yes","Up-regulated"
"PDIA2",90.3892325762191,5.63432859192536,0.306908458684243,18.3583359548983,2.83151511387298e-75,3.86643388799355e-72,"Yes","Up-regulated"
"KCNF1",130.474652930126,5.20132986206447,0.285277338611366,18.2325378082353,2.84793558585313e-74,3.63992077230491e-71,"Yes","Up-regulated"
"MGAT3",105.505587833031,4.67269193955771,0.256322829080116,18.2297142877477,2.99883622764045e-74,3.63992077230491e-71,"Yes","Up-regulated"
"KRTAP10-6",120.243994184982,6.39255871683652,0.353813362113308,18.0676011743992,5.73537846225523e-73,6.59508150754486e-70,"Yes","Up-regulated"
"BRICD5",71.1753786992935,3.77744836855177,0.21041706629904,17.9521957747635,4.61299430750076e-72,5.03923498151383e-69,"Yes","Up-regulated"
"ADSS1",84.3497826506735,5.88060240553659,0.328657088995944,17.8928208227669,1.3414253033658e-71,1.39559333466362e-68,"Yes","Up-regulated"
"MIF4GD-DT",81.855270680534,4.41467194798886,0.247372299105617,17.8462663926004,3.0901767829496e-71,3.06882647063104e-68,"Yes","Up-regulated"
"FZD9",84.1601907148562,6.33218800605764,0.356626108855213,17.7558172237705,1.55392221372402e-70,1.47609097936706e-67,"Yes","Up-regulated"
"C19orf73",68.4574283286431,4.8255542036784,0.272668004970231,17.697544690677,4.37990695891834e-70,3.98717530160199e-67,"Yes","Up-regulated"
"DIO3",73.7698909321147,4.49050908769461,0.254690048678186,17.6312702871583,1.41746299803298e-69,1.23874926324098e-66,"Yes","Up-regulated"
