"","V1","V2","V3","V4","V5"
"BHLHE23",1,NA,1,-1,1
"POU3F3",1,1,1,1,0
"AJM1",1,-1,1,NA,1
"SLC18A3",1,NA,NA,-1,1
"LINC01124",1,NA,NA,NA,0
"CTRB2",1,1,1,-1,1
"UTS2R",1,-1,-1,1,1
"CTRB1",1,1,1,-1,1
"MST1L",1,NA,NA,NA,0
"UNC5A",1,-1,-1,-1,1
"MAFA",1,-1,1,1,1
"C1QTNF12",1,-1,1,NA,1
"PTGES2-AS1",1,NA,NA,NA,0
"CDH16",1,1,1,-1,1
"NTN3",1,-1,-1,NA,1
"PDIA2",1,-1,1,-1,1
"KCNF1",1,NA,NA,-1,1
"MGAT3",1,1,-1,1,1
"KRTAP10-6",1,NA,NA,1,0
"BRICD5",1,-1,1,NA,1
"ADSS1",1,NA,NA,NA,0
"MIF4GD-DT",1,NA,NA,NA,0
"FZD9",1,1,-1,-1,1
"C19orf73",1,NA,NA,1,0
"DIO3",1,-1,-1,1,1
"SLC5A2",1,1,1,-1,1
"SNX32",1,-1,-1,1,1
"FOXB2",1,NA,NA,NA,0
"ARHGAP27P2",1,NA,NA,NA,0
"AMH",1,-1,1,-1,1
"KLHDC7B",1,1,-1,1,1
"IBA57",1,1,1,NA,0
"AIFM3",1,-1,1,NA,1
"XIST",1,NA,NA,1,0
"LINC02875",1,NA,NA,NA,0
"CDK5R2",1,-1,-1,-1,1
"TPBGL",1,1,1,NA,0
"FOXD3",1,1,1,1,0
"LOC613038",1,NA,NA,NA,0
"LOC143666",1,NA,NA,-1,1
"NPBWR1",1,-1,-1,1,1
"SLC6A19",1,NA,NA,1,0
"FFAR2",1,-1,-1,1,1
"AMN",1,-1,1,1,1
"SLC35G6",1,-1,-1,NA,1
"LCN15",1,-1,-1,NA,1
"GNAT1",1,-1,1,-1,1
"C20orf204",1,1,1,NA,0
"GPR62",1,NA,NA,-1,1
"LINC01134",1,NA,NA,NA,0
"SAPCD2",1,NA,NA,NA,0
"C9orf163",1,NA,NA,1,0
"FOXL2",1,NA,NA,1,0
"NRADDP",1,NA,NA,NA,0
"HSPB9",1,-1,1,-1,1
"LEFTY1",1,1,-1,NA,1
"PPP1R3G",1,1,-1,-1,1
"NPBWR2",1,NA,-1,1,1
"MAPK8IP2",1,-1,1,-1,1
"MYH7B",1,-1,1,NA,1
"TAS1R3",1,NA,NA,1,0
"CHRM4",1,-1,-1,1,1
"LOC388242",1,NA,NA,NA,0
"KRTAP10-12",1,NA,NA,NA,0
"ZNF205-AS1",1,NA,NA,NA,0
"LOC646652",1,NA,NA,NA,0
"CATSPER1",1,1,1,1,0
"ZNRD2-DT",1,NA,NA,NA,0
"LOC606724",1,NA,NA,1,0
"UFSP1",1,NA,NA,1,0
"LOC91450",1,NA,NA,NA,0
"ICAM5",1,-1,1,-1,1
"ACTRT2",1,-1,1,-1,1
