"","V1","V2","V3","V4","V5"
"BHLHE23",1,NA,NA,NA,0
"POU3F3",1,NA,NA,NA,0
"AJM1",1,NA,NA,NA,0
"SLC18A3",1,NA,NA,NA,0
"LINC01124",1,NA,NA,NA,0
"CTRB2",1,NA,NA,NA,0
"UTS2R",1,NA,NA,NA,0
"CTRB1",1,NA,NA,NA,0
"MST1L",1,NA,NA,NA,0
"UNC5A",1,NA,-1,NA,1
"MAFA",1,NA,NA,NA,0
"C1QTNF12",1,NA,NA,NA,0
"PTGES2-AS1",1,NA,NA,NA,0
"CDH16",1,NA,NA,NA,0
"NTN3",1,NA,NA,NA,0
"PDIA2",1,NA,1,NA,0
"KCNF1",1,NA,NA,NA,0
"MGAT3",1,NA,NA,NA,0
"KRTAP10-6",1,NA,NA,NA,0
"BRICD5",1,NA,NA,NA,0
"ADSS1",1,NA,NA,NA,0
"MIF4GD-DT",1,NA,NA,NA,0
"FZD9",1,NA,NA,NA,0
"C19orf73",1,NA,NA,NA,0
"DIO3",1,NA,NA,NA,0
"SLC5A2",1,NA,NA,NA,0
"SNX32",1,-1,NA,NA,1
"FOXB2",1,NA,NA,NA,0
"ARHGAP27P2",1,NA,NA,NA,0
"AMH",1,-1,NA,NA,1
"KLHDC7B",1,NA,NA,NA,0
"IBA57",1,NA,NA,NA,0
"AIFM3",1,NA,NA,NA,0
"XIST",1,NA,NA,NA,0
"LINC02875",1,NA,NA,NA,0
"CDK5R2",1,-1,NA,NA,1
"TPBGL",1,NA,NA,NA,0
"FOXD3",1,1,NA,NA,0
"LOC613038",1,NA,NA,NA,0
"LOC143666",1,NA,NA,NA,0
"NPBWR1",1,NA,NA,NA,0
"SLC6A19",1,NA,NA,NA,0
"FFAR2",1,NA,NA,NA,0
"AMN",1,NA,NA,NA,0
"SLC35G6",1,NA,NA,NA,0
"LCN15",1,NA,NA,NA,0
"GNAT1",1,-1,NA,NA,1
"C20orf204",1,NA,1,NA,0
"GPR62",1,NA,NA,NA,0
"LINC01134",1,NA,NA,NA,0
"SAPCD2",1,NA,NA,NA,0
"C9orf163",1,NA,NA,NA,0
"FOXL2",1,NA,NA,NA,0
"NRADDP",1,NA,NA,NA,0
"HSPB9",1,NA,NA,NA,0
"LEFTY1",1,NA,NA,NA,0
"PPP1R3G",1,NA,NA,NA,0
"NPBWR2",1,NA,NA,NA,0
"MAPK8IP2",1,NA,NA,NA,0
"MYH7B",1,NA,NA,NA,0
"TAS1R3",1,NA,NA,NA,0
"CHRM4",1,NA,NA,NA,0
"LOC388242",1,NA,NA,NA,0
"KRTAP10-12",1,NA,NA,NA,0
"ZNF205-AS1",1,NA,NA,NA,0
"LOC646652",1,NA,NA,NA,0
"CATSPER1",1,NA,NA,NA,0
"ZNRD2-DT",1,NA,NA,NA,0
"LOC606724",1,NA,NA,NA,0
"UFSP1",1,NA,NA,NA,0
"LOC91450",1,NA,NA,NA,0
"ICAM5",1,NA,NA,NA,0
"ACTRT2",1,NA,1,NA,0
"LINC00552",1,NA,NA,NA,0
"LINC00896",1,NA,NA,NA,0
"MST1P2",1,NA,NA,NA,0
"MIR6816",1,NA,NA,NA,0
"PKLR",1,NA,NA,NA,0
"LOC105372862",1,NA,NA,NA,0
"SPDYC",1,NA,NA,NA,0
"LINC02897",1,NA,NA,NA,0
"SHBG",1,NA,NA,NA,0
"RNF208",1,NA,NA,NA,0
"INS-IGF2",1,NA,NA,NA,0
"KRTAP10-11",1,NA,NA,NA,0
"CYP11B1",1,NA,-1,NA,1
"USP17L13",1,NA,NA,NA,0
"RXFP3",1,NA,NA,NA,0
"KRTAP10-8",1,NA,NA,NA,0
"KRTAP10-7",1,NA,NA,NA,0
"LENEP",1,NA,NA,NA,0
"OLIG3",1,1,NA,NA,0
"POU3F1",1,NA,NA,NA,0
"USP17L17",1,NA,NA,NA,0
"USP17L11",1,NA,NA,NA,0
"FFAR1",1,NA,NA,NA,0
"GOLGA6A",1,NA,NA,NA,0
"KRTAP10-2",1,1,NA,NA,0
"ADRA2B",1,NA,NA,NA,0
"USP17L9P",1,NA,NA,NA,0
"TEX44",1,-1,NA,NA,1
"USP17L15",1,NA,NA,NA,0
"TIGD5",1,NA,NA,NA,0
"CDHR5",1,-1,NA,NA,1
"PSAPL1",1,NA,NA,NA,0
"TMEM121B",1,NA,NA,NA,0
"FOXD4L6",1,NA,NA,NA,0
"KBTBD13",1,NA,NA,NA,0
"KLHL34",1,NA,NA,NA,0
"PSPN",1,NA,NA,NA,0
"CLDN19",1,NA,NA,1,0
"LOC101929627",1,NA,NA,NA,0
"ACTL9",1,NA,NA,NA,0
"SCGB2B2",1,NA,NA,NA,0
"GOLGA6C",1,NA,NA,NA,0
"TTBK1",1,NA,NA,NA,0
"SLC34A3",1,-1,NA,NA,1
"102723930",1,NA,NA,NA,0
"TM6SF2",1,NA,NA,NA,0
"KRTAP10-10",1,NA,NA,NA,0
"LOC390705",1,NA,NA,NA,0
"100288562",1,NA,NA,NA,0
"LOC101929601",1,NA,NA,NA,0
"AQP12B",1,NA,NA,NA,0
"KCNJ11",1,NA,NA,NA,0
"SLC38A3",1,NA,NA,NA,0
"LINC00917",1,NA,NA,NA,0
"TH",1,1,NA,NA,0
"MRGPRD",1,NA,-1,NA,1
"SOX3",1,NA,NA,NA,0
"GTSE1-DT",1,NA,NA,NA,0
"ZNF668",1,NA,NA,NA,0
"RHBDL1",1,NA,NA,NA,0
"OXCT2P1",1,NA,NA,NA,0
"LINC01002",1,NA,NA,NA,0
"LAMB2P1",1,NA,NA,NA,0
"FAM43B",1,NA,NA,NA,0
"OXCT2",1,NA,NA,NA,0
"ANKRD63",1,NA,NA,NA,0
"LOC105372485",1,NA,NA,NA,0
"GPT",1,-1,NA,NA,1
"REXO1L2P",1,NA,NA,NA,0
"GOLGA6B",1,NA,NA,NA,0
"MAGEL2",1,NA,NA,NA,0
"SLC27A5",1,NA,NA,NA,0
"RECQL4",1,NA,NA,NA,0
"SBF1P1",1,NA,NA,NA,0
"CDC27P10",1,NA,NA,NA,0
"OLIG1",1,1,1,NA,0
"DKFZP434A062",1,NA,NA,NA,0
"INS",1,NA,1,NA,0
"25787",1,NA,NA,NA,0
"FOXD4L5",1,NA,NA,NA,0
"STX1B",1,NA,-1,NA,1
"PTPRH",1,NA,NA,NA,0
"LOC102724621",1,NA,NA,NA,0
"CDC27P9",1,NA,NA,NA,0
"HPDL",1,NA,NA,NA,0
"CYP21A2",1,NA,NA,NA,0
"COX6B2",1,-1,NA,NA,1
"LY6G6E",1,NA,1,NA,0
"AQP12A",1,NA,NA,NA,0
"H1-9P",1,NA,NA,NA,0
"TMEM52",1,-1,NA,NA,1
"CDC27P11",1,NA,NA,NA,0
"LINC00696",1,NA,NA,NA,0
"RPH3AL-AS1",1,NA,NA,NA,0
"KRT17P5",1,NA,NA,NA,0
"SMIM32",1,NA,NA,NA,0
"ZNRF4",1,NA,NA,NA,0
"FLJ16779",1,NA,NA,NA,0
"LOC102724562",1,NA,NA,NA,0
"FZD10",1,NA,NA,NA,0
"LINC02992",1,NA,NA,NA,0
"CYP11B2",1,NA,NA,NA,0
"FOXE3",1,NA,NA,NA,0
"AQP10",1,NA,NA,NA,0
"ACTN3",1,NA,NA,NA,0
"GPR179",1,NA,NA,NA,0
"LOC102724728",1,NA,NA,NA,0
"POM121L1P",1,NA,NA,NA,0
"MYO7B",1,NA,NA,NA,0
"PROB1",1,NA,NA,NA,0
"SMCR5",1,NA,NA,NA,0
"KRTAP12-4",1,NA,NA,NA,0
"MIR6892",1,NA,NA,NA,0
"PRM3",1,-1,NA,NA,1
"NANOS2",1,NA,1,NA,0
"RIMBP3C",1,NA,NA,NA,0
"FOXD4",1,NA,NA,NA,0
"NOTUM",1,NA,-1,NA,1
"EPOR",1,NA,NA,NA,0
"KRTAP10-4",1,NA,NA,NA,0
"VIL1",1,NA,1,NA,0
"CTRL",1,NA,NA,NA,0
"APLP1",1,NA,NA,NA,0
"RIMBP3",1,NA,NA,NA,0
"ALPI",1,NA,NA,NA,0
"MAMDC4",1,NA,NA,NA,0
"LOC407835",1,NA,NA,NA,0
"26222",1,NA,NA,NA,0
"SLC6A10PB",1,NA,NA,NA,0
"SLIT1-AS1",1,NA,NA,NA,0
"PLCD1",1,NA,NA,NA,0
"ELOA3CP",1,NA,NA,NA,0
"NEUROG1",1,NA,NA,NA,0
"ELOA3DP",1,NA,NA,NA,0
"PPFIA3",1,NA,NA,NA,0
"STH",1,-1,-1,NA,1
"CALML5",1,-1,1,NA,1
"RHPN1-AS1",1,NA,NA,NA,0
"KRT8P41",1,NA,NA,NA,0
"LINC01096",1,NA,NA,NA,0
"YJEFN3",1,NA,NA,NA,0
"YBX2",1,-1,NA,NA,1
"LINC00602",1,NA,NA,NA,0
"POM121L4P",1,NA,NA,NA,0
"ZFPM1",1,NA,NA,NA,0
"CYP21A1P",1,NA,NA,NA,0
"PRR19",1,NA,NA,NA,0
"C1QTNF5",1,NA,NA,NA,0
"MFRP",1,-1,NA,NA,1
"ADRA2C",1,NA,NA,NA,0
"OR13J1",1,NA,NA,NA,0
"P2RX6",1,-1,NA,NA,1
"ALPP",1,NA,1,NA,0
"HRC",1,NA,NA,NA,0
"WWC2-AS2",1,NA,NA,NA,0
"ASPDH",1,NA,NA,NA,0
"MAST1",1,NA,NA,NA,0
"TEDC2",1,NA,NA,NA,0
"GOLGA8F",1,NA,NA,NA,0
"HES3",1,NA,NA,NA,0
"FOXD2-AS1",1,NA,NA,NA,0
"SSTR4",1,NA,NA,NA,0
"CXorf49B",1,NA,NA,NA,0
"CCDC177",1,NA,NA,NA,0
"SPPL2C",1,NA,NA,NA,0
"FXYD4",1,NA,1,NA,0
"CERS1",1,NA,NA,NA,0
"SSR4P1",1,NA,NA,NA,0
"GDF1",1,NA,NA,NA,0
"DNASE1L2",1,NA,NA,NA,0
"CYP1A1",1,NA,-1,NA,1
"FAM138D",1,NA,NA,NA,0
"IL4I1",1,NA,NA,NA,0
"RAB26",1,NA,NA,NA,0
"LGALS4",1,NA,1,NA,0
"DMRTC2",1,NA,NA,NA,0
"HGC6.3",1,NA,NA,NA,0
"EXTL1",1,NA,NA,NA,0
"HPD",1,NA,NA,NA,0
"KRTAP5-6",1,NA,NA,NA,0
"GOLGA6EP",1,NA,NA,NA,0
"H2AB3",1,NA,NA,NA,0
"PRDM10-DT",1,NA,NA,NA,0
"NPPA-AS1",1,NA,NA,NA,0
"LINC00905",1,NA,NA,NA,0
"CELSR3",1,NA,NA,NA,0
"C10orf62",1,NA,NA,NA,0
"GNAO1-AS1",1,NA,NA,NA,0
"PFN3",1,NA,NA,NA,0
"LOC100129534",1,NA,NA,NA,0
"SEBOX",1,NA,NA,NA,0
"FNDC10",1,NA,NA,NA,0
"H2AB1",1,NA,NA,NA,0
"DBIL5P",1,NA,NA,NA,0
"C15orf62",1,NA,NA,NA,0
"LOC101059915",1,NA,NA,NA,0
"ZNF469",1,NA,NA,NA,0
"LINC01101",1,NA,NA,NA,0
"GOLGA8G",1,NA,NA,NA,0
"JUN",1,NA,NA,NA,0
"NPPA",1,NA,NA,NA,0
"KRTAP5-5",1,NA,NA,NA,0
"H2AB2",1,NA,NA,NA,0
"WDR97",1,NA,NA,NA,0
"PSMB11",1,NA,NA,NA,0
"ANGPTL6",1,NA,NA,NA,0
"RTEL1",1,NA,NA,NA,0
"CENPVL2",1,1,NA,NA,0
"ABHD16B",1,NA,NA,NA,0
"CXorf49",1,NA,NA,NA,0
"C16orf92",1,-1,NA,NA,1
"GOLGA8EP",1,NA,NA,NA,0
"CENPVL1",1,1,NA,NA,0
"SYT5",1,NA,NA,NA,0
"LY6G6F",1,NA,1,NA,0
"GARIN5B",1,NA,NA,NA,0
"LY6G6F-LY6G6D",1,NA,NA,NA,0
"FAM236B",1,-1,NA,NA,1
"CAMKV",1,NA,NA,NA,0
"PNMA8B",1,NA,NA,NA,0
"SYCE1",1,NA,NA,NA,0
"TRIM74",1,NA,NA,NA,0
"EXOC3-AS1",1,NA,NA,NA,0
"SPEM2",1,NA,NA,NA,0
"FAM138E",1,NA,NA,NA,0
"SLC35G3",1,NA,NA,NA,0
"KRTAP5-3",1,NA,NA,NA,0
"CCDC197",1,NA,NA,NA,0
"ASB9P1",1,NA,NA,NA,0
"OR2C1",1,NA,NA,NA,0
"COL20A1",1,NA,NA,NA,0
"ECEL1P2",1,NA,NA,NA,0
"MYO15B",1,NA,NA,NA,0
"CDT1",1,NA,NA,NA,0
"MYEOV",1,NA,NA,NA,0
"LOC100129291",1,NA,NA,NA,0
"MROH5",1,NA,NA,NA,0
"PRSS30P",1,NA,NA,NA,0
"FREY1",1,NA,NA,NA,0
"TBX6",1,NA,NA,NA,0
"FAM236A",1,NA,NA,NA,0
"ATP6V1F",1,NA,NA,NA,0
"IFNL3",1,1,NA,NA,0
"DCANP1",1,1,1,NA,0
"MYH6",1,NA,NA,NA,0
"LOC375196",1,NA,NA,NA,0
"LOC101927999",1,NA,NA,NA,0
"FAM215A",1,NA,NA,NA,0
"CCIN",1,NA,NA,NA,0
"OR52W1",1,NA,NA,NA,0
"VESTAR",1,NA,NA,NA,0
"MEX3B",1,NA,NA,NA,0
"TUBB4A",1,NA,NA,NA,0
"PRKACG",1,NA,NA,NA,0
"MAPT-IT1",1,NA,NA,NA,0
"AMER2",1,NA,NA,NA,0
"SH2D6",1,NA,NA,NA,0
"SULT1A1",1,NA,NA,NA,0
"GPR148",1,NA,NA,NA,0
"CMTM5",1,NA,NA,NA,0
"FAM223A",1,NA,NA,NA,0
"FAM138F",1,NA,NA,NA,0
"TRIM73",1,NA,NA,NA,0
"PACSIN1",1,NA,NA,NA,0
"FAM138A",1,NA,NA,NA,0
"SLC22A7",1,-1,NA,NA,1
"FOXL1",1,NA,NA,NA,0
"DPM3",1,NA,NA,NA,0
"IL17REL",1,NA,NA,NA,0
"ATRIP",1,NA,NA,NA,0
"POM121L2",1,NA,NA,NA,0
"E2F1",1,NA,NA,NA,0
"ATP2B2",1,NA,-1,NA,1
"MT1DP",1,NA,NA,NA,0
"GPR6",1,NA,NA,NA,0
"MUC12",1,NA,NA,NA,0
"SOWAHD",1,NA,NA,NA,0
"SLC6A10P",1,NA,NA,NA,0
"NOC2LP2",1,NA,NA,NA,0
"LCK",1,NA,NA,NA,0
"FOXD1",1,NA,NA,NA,0
"MUC2",1,-1,NA,NA,1
"UBL4B",1,NA,NA,NA,0
"CDH24",1,NA,NA,NA,0
"C16orf82",1,NA,NA,NA,0
"FAM223B",1,NA,NA,NA,0
"NPAP1P9",1,NA,NA,NA,0
"TPI1P2",1,NA,NA,NA,0
"NHERF4",1,NA,NA,NA,0
"RPRML",1,NA,NA,NA,0
"ANO8",1,NA,NA,NA,0
"F2",1,-1,NA,NA,1
"RCOR2",1,NA,NA,NA,0
"MIR3907",1,NA,NA,NA,0
"HDAC10",1,NA,NA,NA,0
"MROH6",1,NA,1,NA,0
"VPREB1",1,1,NA,NA,0
"107987398",1,NA,NA,NA,0
"MRGPRG",1,NA,NA,NA,0
"LOC105375107",1,NA,NA,NA,0
"CAPN11",1,-1,NA,NA,1
"RNF225",1,NA,NA,NA,0
"MFSD3",1,NA,NA,NA,0
"CELF5",1,NA,NA,NA,0
"GPR45",1,NA,NA,NA,0
"OR5C1",1,NA,NA,NA,0
"LOC100132287",1,NA,NA,NA,0
"GAST",1,NA,NA,NA,0
"GOLGA8S",1,NA,NA,NA,0
"SUPT20HL2",1,NA,NA,NA,0
"RGS9BP",1,1,1,NA,0
"KLHL33",1,NA,NA,NA,0
"ANKRD9",1,NA,NA,NA,0
"TRIM50",1,NA,NA,NA,0
"INGX",1,NA,NA,NA,0
"CCT8L2",1,NA,NA,NA,0
"GPR32",1,NA,NA,NA,0
"LINC00628",1,NA,NA,NA,0
"SPACA4",1,NA,NA,NA,0
"DKFZp434L192",1,NA,NA,NA,0
"TLCD3B",1,NA,NA,NA,0
"CENPVL3",1,NA,NA,NA,0
"HTR7P1",1,NA,NA,NA,0
"PRR23B",1,NA,NA,NA,0
"SLC39A5",1,NA,NA,NA,0
"PRKAG3",1,NA,NA,NA,0
