"","study_1","study_2","study_3","study_4"
"BHLHE23",0.471404520791032,0,0.599707531057446,0.646628683999372
"POU3F3",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"AJM1",0.53961814226692,0.487388851657797,0.686486975707545,0
"SLC18A3",0.589094188963293,0,0,0.808064376476083
"LINC01124",1,0,0,0
"CTRB2",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"UTS2R",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"CTRB1",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"MST1L",1,0,0,0
"UNC5A",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"MAFA",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"C1QTNF12",0.53961814226692,0.487388851657797,0.686486975707545,0
"PTGES2-AS1",1,0,0,0
"CDH16",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"NTN3",0.53961814226692,0.487388851657797,0.686486975707545,0
"PDIA2",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"KCNF1",0.589094188963293,0,0,0.808064376476083
"MGAT3",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"KRTAP10-6",0.589094188963293,0,0,0.808064376476083
"BRICD5",0.53961814226692,0.487388851657797,0.686486975707545,0
"ADSS1",1,0,0,0
"MIF4GD-DT",1,0,0,0
"FZD9",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"C19orf73",0.589094188963293,0,0,0.808064376476083
"DIO3",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"SLC5A2",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"SNX32",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"FOXB2",1,0,0,0
"ARHGAP27P2",1,0,0,0
"AMH",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"KLHDC7B",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"IBA57",0.53961814226692,0.487388851657797,0.686486975707545,0
"AIFM3",0.53961814226692,0.487388851657797,0.686486975707545,0
"XIST",0.589094188963293,0,0,0.808064376476083
"LINC02875",1,0,0,0
"CDK5R2",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"TPBGL",0.53961814226692,0.487388851657797,0.686486975707545,0
"FOXD3",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"LOC613038",1,0,0,0
