"Gene_symbol","ng","metaFIN_pval","metaFIN_padj"
"BHLHE23",4.16433127374976,3.12266449198351e-05,0.000141795779476029
"POU3F3",2.81618856036879,0.00242985674505714,0.0071330824615131
"AJM1",3.67757220676486,0.000235464432090327,0.000878701555253303
"SLC18A3",6.05472765075072,1.40655420644009e-09,1.46122686709997e-08
"LINC01124",8.20953615160139,1.11022302462516e-16,3.03235889926283e-15
"CTRB2",5.73429580318814,9.79183112370663e-09,8.86474598922482e-08
"UTS2R",3.68975157043357,0.000224473152715454,0.000841360389915964
"CTRB1",4.45341747656769,8.45141997984911e-06,4.35855892974334e-05
"MST1L",8.20953615160139,1.11022302462516e-16,3.03235889926283e-15
"UNC5A",2.34472464921497,0.0190411358171987,0.0435273627930706
"MAFA",4.98056316323962,6.33995051124714e-07,4.06558941806642e-06
"C1QTNF12",2.89467781130035,0.0037954787929384,0.0106088298676204
"PTGES2-AS1",8.20953615160139,1.11022302462516e-16,3.03235889926283e-15
"CDH16",4.18451646926451,2.85773729526984e-05,0.000130872138421794
"NTN3",3.40328170951328,0.00066581592746684,0.00224575564306255
"PDIA2",0.825638084442855,0.409009424389878,0.583219507659833
"KCNF1",5.29025653491203,1.22144916181455e-07,8.99022025467747e-07
"MGAT3",3.23842578146147,0.00120191288244631,0.00381666899439164
"KRTAP10-6",5.1486850036946,1.31159488381272e-07,9.59443039841105e-07
"BRICD5",9.79500302973489,0,0
"ADSS1",8.20953615160139,1.11022302462516e-16,3.03235889926283e-15
"MIF4GD-DT",8.20953615160139,1.11022302462516e-16,3.03235889926283e-15
"FZD9",2.70451276986333,0.00684046404397876,0.0177913327380558
"C19orf73",9.53779802947355,0,0
"DIO3",6.74820868231799,1.49682488626013e-11,2.15818514521559e-10
"SLC5A2",3.27730244682401,0.00104804041285966,0.00337182232651679
"SNX32",7.27111277763747,3.566036355096e-13,6.46535843466942e-12
"FOXB2",8.20953615160139,1.11022302462516e-16,3.03235889926283e-15
"ARHGAP27P2",8.20953615160139,1.11022302462516e-16,3.03235889926283e-15
"AMH",6.52928679095026,6.60835830501583e-11,8.6454620709603e-10
"KLHDC7B",4.23119075890624,2.32457421345256e-05,0.00010859773290848
"IBA57",3.74966010921075,8.85372056317335e-05,0.000364733345606217
"AIFM3",3.11432011930727,0.00184369337997436,0.0055828429473193
"XIST",6.84663771714479,3.78030939884866e-12,5.95866375037163e-11
"LINC02875",8.20953615160139,1.11022302462516e-16,3.03235889926283e-15
"CDK5R2",3.4640058791181,0.000532194879226733,0.00183875377934372
"TPBGL",5.76896333419267,3.98803268186754e-09,3.85777384603676e-08
"FOXD3",5.58337676723091,1.1794647258867e-08,1.05317588545196e-07
"LOC613038",8.20953615160139,1.11022302462516e-16,3.03235889926283e-15
"LOC143666",7.5209177317636,5.44009282066327e-14,1.09501354020625e-12
"NPBWR1",3.5460006371341,0.000391125261488323,0.00139208477828668
"SLC6A19",4.27551102386869,9.53496820266242e-06,4.85611552169431e-05
"FFAR2",2.54847028509167,0.0108196503902462,0.0265238767284828
"AMN",7.87638459407857,3.33066907387547e-15,7.72596776281274e-14
"SLC35G6",3.05952285626648,0.00221689870999109,0.00657200954011534
"LCN15",4.73765438827875,2.16206130576602e-06,1.25089059073833e-05
"GNAT1",4.11941510354376,3.79835336912215e-05,0.000169472134441533
"C20orf204",9.2841688791585,0,0
"GPR62",5.10098141277433,3.37896749247335e-07,2.28165675268197e-06
"LINC01134",8.20953615160139,1.11022302462516e-16,3.03235889926283e-15
"SAPCD2",8.20953615160139,1.11022302462516e-16,3.03235889926283e-15
"C9orf163",9.26860324304737,0,0
"FOXL2",7.39354295265037,7.14983627858601e-14,1.41116545282323e-12
"NRADDP",8.20953615160139,1.11022302462516e-16,3.03235889926283e-15
"HSPB9",3.36267458118049,0.000771912996616608,0.00256318959202239
"LEFTY1",3.57536138277398,0.00034974444838487,0.00125903405565092
"PPP1R3G",1.45979068890168,0.144347608335538,0.247940480929968
"NPBWR2",5.13508212614304,2.82020843345165e-07,1.9373021573322e-06
"MAPK8IP2",2.21315012297366,0.0268872974463692,0.0588790978052185
"MYH7B",6.7377125622471,1.60900182066825e-11,2.31019941704438e-10
"TAS1R3",5.21619236348734,9.13192532703277e-08,6.89360965373554e-07
"CHRM4",2.6360829578638,0.0083869224469959,0.0212465082703396
"LOC388242",8.20953615160139,1.11022302462516e-16,3.03235889926283e-15
"KRTAP10-12",8.20953615160139,1.11022302462516e-16,3.03235889926283e-15
"ZNF205-AS1",8.20953615160139,1.11022302462516e-16,3.03235889926283e-15
"LOC646652",8.20953615160139,1.11022302462516e-16,3.03235889926283e-15
"CATSPER1",6.193068595399,2.95020119445155e-10,3.4746673139295e-09
"ZNRD2-DT",8.20953615160139,1.11022302462516e-16,3.03235889926283e-15
"LOC606724",5.04621206549003,2.25327599245873e-07,1.57551035766735e-06
"UFSP1",6.24184795024751,2.16215600978842e-10,2.61280387684842e-09
"LOC91450",8.20953615160139,1.11022302462516e-16,3.03235889926283e-15
"ICAM5",3.49375049951296,0.000476285915318897,0.00166320620142271
"ACTRT2",3.29435799627039,0.000986467738666841,0.0031917188733646
"LINC00552",8.20953615160139,1.11022302462516e-16,3.03235889926283e-15
