"Gene_symbol","ng","metaFIN_pval","metaFIN_padj"
"BHLHE23",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"POU3F3",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"AJM1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"SLC18A3",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"LINC01124",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"CTRB2",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"UTS2R",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"CTRB1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"MST1L",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"UNC5A",6.56959515963282,5.04523089972508e-11,1.12823630779793e-10
"MAFA",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"C1QTNF12",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"PTGES2-AS1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"CDH16",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"NTN3",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"PDIA2",8.9476327047724,0,0
"KCNF1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"MGAT3",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"KRTAP10-6",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"BRICD5",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"ADSS1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"MIF4GD-DT",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"FZD9",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"C19orf73",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"DIO3",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"SLC5A2",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"SNX32",2.1903034729026,0.0285022351444844,0.0336375778001349
"FOXB2",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"ARHGAP27P2",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"AMH",2.83083304744521,0.00464269478388513,0.00585009690138252
"KLHDC7B",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"IBA57",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"AIFM3",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"XIST",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"LINC02875",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"CDK5R2",6.5900918008033,4.39555059017493e-11,9.86932706998491e-11
"TPBGL",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"FOXD3",6.96960550445568,1.58917323744845e-12,3.87532600347938e-12
"LOC613038",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"LOC143666",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"NPBWR1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"SLC6A19",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"FFAR2",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"AMN",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"SLC35G6",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"LCN15",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"GNAT1",7.9340252912384,2.22044604925031e-15,6.49400988480819e-15
"C20orf204",10.1956724624111,0,0
"GPR62",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"LINC01134",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"SAPCD2",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"C9orf163",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"FOXL2",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"NRADDP",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"HSPB9",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"LEFTY1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"PPP1R3G",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"NPBWR2",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"MAPK8IP2",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"MYH7B",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"TAS1R3",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"CHRM4",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"LOC388242",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"KRTAP10-12",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"ZNF205-AS1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"LOC646652",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"CATSPER1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
