"","study_1","study_2","study_3","study_4"
"BHLHE23",1,0,0,0
"POU3F3",1,0,0,0
"AJM1",1,0,0,0
"SLC18A3",1,0,0,0
"LINC01124",1,0,0,0
"CTRB2",1,0,0,0
"UTS2R",1,0,0,0
"CTRB1",1,0,0,0
"MST1L",1,0,0,0
"UNC5A",0.617988307121335,0,0.786187288285245,0
"MAFA",1,0,0,0
"C1QTNF12",1,0,0,0
"PTGES2-AS1",1,0,0,0
"CDH16",1,0,0,0
"NTN3",1,0,0,0
"PDIA2",0.617988307121335,0,0.786187288285245,0
"KCNF1",1,0,0,0
"MGAT3",1,0,0,0
"KRTAP10-6",1,0,0,0
"BRICD5",1,0,0,0
"ADSS1",1,0,0,0
"MIF4GD-DT",1,0,0,0
"FZD9",1,0,0,0
"C19orf73",1,0,0,0
"DIO3",1,0,0,0
"SLC5A2",1,0,0,0
"SNX32",0.742108238521282,0.670280062599836,0,0
"FOXB2",1,0,0,0
"ARHGAP27P2",1,0,0,0
"AMH",0.742108238521282,0.670280062599836,0,0
"KLHDC7B",1,0,0,0
"IBA57",1,0,0,0
"AIFM3",1,0,0,0
"XIST",1,0,0,0
"LINC02875",1,0,0,0
"CDK5R2",0.742108238521282,0.670280062599836,0,0
"TPBGL",1,0,0,0
"FOXD3",0.742108238521282,0.670280062599836,0,0
"LOC613038",1,0,0,0
"LOC143666",1,0,0,0
"NPBWR1",1,0,0,0
"SLC6A19",1,0,0,0
"FFAR2",1,0,0,0
"AMN",1,0,0,0
"SLC35G6",1,0,0,0
"LCN15",1,0,0,0
"GNAT1",0.742108238521282,0.670280062599836,0,0
"C20orf204",0.617988307121335,0,0.786187288285245,0
"GPR62",1,0,0,0
"LINC01134",1,0,0,0
"SAPCD2",1,0,0,0
"C9orf163",1,0,0,0
"FOXL2",1,0,0,0
"NRADDP",1,0,0,0
"HSPB9",1,0,0,0
"LEFTY1",1,0,0,0
"PPP1R3G",1,0,0,0
"NPBWR2",1,0,0,0
"MAPK8IP2",1,0,0,0
"MYH7B",1,0,0,0
