Gene_Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
OR1J1,-2.593557407,10.94452081,-4.588871298,9.64E-06,0.000234597,3.182512945
KLRG2,-2.569656959,10.80484744,-4.600259557,9.19E-06,0.000227251,3.227166383
ARHGAP25,-2.562979822,10.84980693,-3.171521311,0.001854694,0.012430115,-1.681223611
MRPS7,-2.539704751,10.77829517,-4.585071161,9.79E-06,0.000236768,3.167630728
SIX1,-2.239723914,12.76353912,-5.41125104,2.56E-07,1.38E-05,6.605544348
LOC100130231,-2.07414899,9.702710186,-4.571684362,1.04E-05,0.000247826,3.115277395
RIPK4,-1.967166593,9.576490904,-4.358691329,2.48E-05,0.000474661,2.297712982
KIAA0368,-1.945999511,11.31453194,-3.827036666,0.00019301,0.002218312,0.389551853
SNX30,-1.914208829,11.01020192,-3.845111154,0.000180562,0.002112966,0.45118055
C3orf67,-1.772851764,11.17964325,-4.215101301,4.40E-05,0.000726623,1.763297663
LMBRD1,-1.676430475,8.432994511,-3.531882999,0.000555281,0.004999672,-0.583054778
PER4,-1.674853908,8.984052286,-3.053403523,0.002697337,0.016442129,-2.01900503
ZNF705A,-1.501029864,8.575008898,-3.736827962,0.000268312,0.002861206,0.085497456
FLJ45983,-1.438386086,9.133045136,-3.373272203,0.000955181,0.007538459,-1.078775234
BAI1,-1.433959668,10.01369151,-3.500218338,0.00061968,0.005397261,-0.683548611
ARL14,-1.418719981,13.36043606,-4.070218827,7.73E-05,0.00108439,1.238163944
ERCC3,-1.40622546,9.112417411,-3.987502724,0.000105961,0.001396724,0.944841862
GNG7,-1.395188441,8.396428286,-3.01478085,0.00304187,0.017916219,-2.127023734
CRB3,-1.384438834,8.840078852,-5.822449479,3.65E-08,3.07E-06,8.455437251
ZSCAN22,-1.383768814,9.584326644,-3.814760993,0.000201926,0.002288366,0.347829522
ILVBL,-1.35774844,8.740848097,-3.732501169,0.000272547,0.002888746,0.071062453
NAA38,-1.345843504,10.00821167,-3.660692715,0.000352758,0.003534211,-0.166498693
XLOC_010503,-1.343425571,8.60994959,-4.090118657,7.16E-05,0.001027437,1.309439977
SKIV2L,-1.321507905,11.11821704,-4.832944509,3.42E-06,0.000104941,4.157095362
ESAM,-1.320572611,11.23804754,-7.771927893,1.36E-12,2.11E-09,18.19260625
PRAMEF13,-1.31906658,14.94196476,-6.45875065,1.53E-09,2.86E-07,11.4747702
ZNF688,-1.315953835,8.712337324,-3.648426905,0.000368518,0.00366216,-0.206697174
CRLF3,-1.313735629,8.66207779,-3.650272821,0.000366104,0.003642504,-0.20065471
LOC729609,-1.307924424,9.060934767,-3.97068068,0.000112928,0.001472957,0.885773715
CD300LG,-1.304732301,10.27005555,-5.094515581,1.08E-06,4.17E-05,5.241133178
CDC37L1,-1.302750257,8.956779809,-4.481500913,1.50E-05,0.000325655,2.765548763
ALS2CR8,-1.30158435,8.646593691,-3.629124363,0.000394672,0.003850782,-0.269731237
ALDOA,-1.286817448,11.6723475,-4.532985257,1.22E-05,0.00027549,2.964569445
SLC35A3,-1.286075141,10.71817407,-4.747927037,4.92E-06,0.000139279,3.813478431
PITHD1,-1.250678502,9.396004126,-6.504334725,1.21E-09,2.46E-07,11.69771659
NFKBIL1,-1.241680418,8.753990123,-5.435395306,2.29E-07,1.28E-05,6.711775893
DDAH2,-1.232321411,9.493913846,-5.669200397,7.61E-08,5.24E-06,7.75608613
C9orf4,-1.232171728,12.26099182,-4.045897553,8.48E-05,0.001168411,1.151423441
FGGY,-1.229876388,8.53739555,-4.882176368,2.76E-06,8.93E-05,4.35806222
TOPBP1,-1.210359595,8.020066177,-3.625429895,0.000399873,0.003890346,-0.2817643
LOC100272216,-1.189081347,8.596476492,-3.598978674,0.000439049,0.004159825,-0.3676205
NUP54,-1.18787679,8.061390596,-2.980826028,0.003377801,0.019397334,-2.220989957
C15orf43,-1.183813542,8.74253069,-2.930527054,0.003938499,0.021651098,-2.358462381
LOC100134409,-1.160682674,12.38764105,-2.732082029,0.00708449,0.033024974,-2.880512535
TMEM14A,-1.157999794,11.42354875,-6.398572193,2.08E-09,3.31E-07,11.18173418
OR4D10,-1.14983254,12.04902476,-2.709600954,0.0075573,0.034505139,-2.937586613
PRTFDC1,-1.146184378,12.33544859,-2.713198189,0.007479773,0.034234911,-2.928482604
TAS2R20,-1.143899016,10.11044356,-4.187063567,4.91E-05,0.00078556,1.660557702
TOMM20,-1.143097826,10.42304876,-4.101497359,6.85E-05,0.001002533,1.350318243
LOC158696,-1.142147335,10.1307124,-4.274752039,3.47E-05,0.00060823,1.983638834
UTP23,-1.137860454,8.578153499,-4.681104324,6.54E-06,0.00017441,3.546489101
LINC00294,-1.134205901,12.02352717,-2.696961921,0.007835501,0.035358618,-2.969487676
LRRC48,-1.132511284,8.439624559,-3.784115727,0.000225918,0.002504016,0.244147968
LOC100653259,-1.117856826,7.881019755,-4.666154724,6.97E-06,0.000183989,3.487134533
NKX6-2,-1.101335677,8.43855863,-5.587073934,1.12E-07,7.14E-06,7.386083565
LOC648987,-1.090176625,13.12585802,-5.700214848,6.56E-08,4.68E-06,7.896691328
C21orf116,-1.088710162,10.86293715,-6.169894755,6.60E-09,7.75E-07,10.08200931
RFX8,-1.085500222,11.18251444,-4.328459053,2.80E-05,0.000515429,2.184056283
P2RY2,-1.078001463,10.25018314,-3.803145284,0.00021072,0.002366481,0.308450384
OR1K1,-1.072805425,7.632729008,-4.210829512,4.47E-05,0.000734401,1.747610056
CACNA1A,-1.067982478,7.526988086,-3.198306631,0.001701215,0.011685827,-1.603079805
CPNE2,-1.053037513,9.115874641,-2.834434635,0.005253282,0.026720375,-2.615326095
USP25,-1.042652009,8.303369097,-3.523632965,0.000571425,0.005103176,-0.609310792
UBXN1,-1.039474618,14.56699256,-5.317980642,3.94E-07,1.91E-05,6.19807737
C6orf58,-1.03543681,8.224994176,-3.35877297,0.001002831,0.00785144,-1.123129402
C4orf27,-1.027345576,10.84629336,-5.605880463,1.03E-07,6.67E-06,7.470512518
POLD2,-1.025782901,9.120601794,-6.075633255,1.05E-08,1.13E-06,9.635288187
C16orf62,-1.019663817,14.2832625,-5.801539827,4.03E-08,3.29E-06,8.359343676
LINC00174,-1.01405039,10.10962673,-2.735540746,0.007014178,0.0327955,-2.871694055
LOC100133461,-1.01342858,9.793241698,-6.654312538,5.59E-10,1.51E-07,12.43704223
ZNF665,-1.005667179,9.362377211,-3.675253905,0.000334877,0.003391467,-0.118633232
KIAA1429,-1.003048579,9.127883999,-2.901246118,0.004303026,0.023067918,-2.437537608
PLEKHJ1,-1.000343695,7.391910652,-3.142168993,0.002037583,0.013330352,-1.766202714
FLJ43315,1.003982257,11.67364144,6.43909271,1.69E-09,3.01E-07,11.37888442
CYP4F2,1.007732554,11.6363733,6.411408354,1.95E-09,3.19E-07,11.244115
TXNDC16,1.008107806,8.188778764,6.394342889,2.13E-09,3.31E-07,11.16119556
ZNF736,1.010659531,11.08122558,3.675992917,0.000333992,0.003386186,-0.116199781
LRRC52,1.01738826,8.121327703,6.610918469,7.00E-10,1.73E-07,12.22222665
LBP,1.018474339,8.136805969,6.561539018,9.03E-10,1.99E-07,11.97866948
CN5H6.4,1.020070666,8.211041936,6.571480265,8.58E-10,1.95E-07,12.02762666
UCKL1,1.051675326,8.176883689,6.546926959,9.74E-10,2.06E-07,11.90678073
RHBDD1,1.053381125,11.40305546,3.780522048,0.000228903,0.002528088,0.232034087
TTTY10,1.108597868,11.51476733,6.009528462,1.46E-08,1.52E-06,9.324381217
PAFAH1B3,1.112111856,9.969992555,6.14062699,7.64E-09,8.64E-07,9.942883192
SSPO,1.121286051,10.6008046,6.442160698,1.67E-09,3.01E-07,11.39383885
ZNF7,1.128718206,10.55971982,6.412870428,1.94E-09,3.19E-07,11.25122464
TNRC6B,1.128745602,11.14592112,5.323116297,3.85E-07,1.88E-05,6.220392005
KAT6B,1.134122122,8.255297736,2.566098347,0.011310045,0.045861826,-3.291852225
DBNDD2,1.134175993,10.29584196,6.702191414,4.35E-10,1.25E-07,12.67489484
POC5,1.144110966,13.63681583,3.154255207,0.00196034,0.012947537,-1.731294367
XLOC_005208,1.145551357,11.56615042,6.290038038,3.61E-09,5.07E-07,10.65701808
TBCK,1.146116589,9.262938259,6.199937795,5.68E-09,6.97E-07,10.22521102
Mar-03,1.165689299,8.85242173,3.294420503,0.001242398,0.009242471,-1.318022
LRRC29,1.168437817,8.634998402,6.870360135,1.80E-10,6.23E-08,13.51709615
IFI27L1,1.169465059,8.502002071,7.089117746,5.64E-11,3.00E-08,14.62775424
XLOC_001459,1.179250098,11.20726875,5.881493464,2.74E-08,2.42E-06,8.727910478
OXT,1.181638353,8.781535487,7.024990404,7.94E-11,3.71E-08,14.30046088
RBM17,1.188704352,8.491913229,7.266028623,2.18E-11,1.56E-08,15.53773026
SCGB1A1,1.203689689,9.97083269,6.417050547,1.89E-09,3.19E-07,11.27155618
LINC00051,1.206563735,8.624755882,7.230036628,2.64E-11,1.76E-08,15.35177727
OR13C2,1.208011784,7.328214442,3.163470408,0.00190328,0.012682869,-1.704600252
MRE11A,1.237037162,10.37900222,7.165644085,3.74E-11,2.41E-08,15.02013028
CLDN19,1.314681985,10.01871474,7.566068819,4.24E-12,4.95E-09,17.1033754
MKRN3,1.317345928,9.940125257,7.917948263,6.02E-13,1.02E-09,18.97208172
RBP7,1.411291397,10.82042181,6.424797208,1.82E-09,3.15E-07,11.3092538
CCDC41,1.569590909,10.48685162,8.490924979,2.35E-14,1.09E-10,22.07964088
MANF,1.573305,10.73634578,8.375314353,4.54E-14,1.47E-10,21.44683434
XLOC_005479,1.756447642,12.34697288,7.451386731,7.95E-12,7.42E-09,16.50176694
MMS22L,1.781111888,10.55574904,5.751446313,5.14E-08,3.92E-06,8.129989689
DKFZP547J0410,1.800415117,10.25899721,5.859177154,3.05E-08,2.64E-06,8.624731493
GLCE,2.020046398,8.9240203,6.442465855,1.66E-09,3.01E-07,11.3953265
EDNRB,2.029774898,9.669938814,7.618271161,3.18E-12,4.20E-09,17.37847529
LSM1,2.488161191,9.346047961,2.970735231,0.003484023,0.019868407,-2.248734574
C1orf150,2.497114757,9.362325397,3.008342692,0.003103099,0.018178564,-2.144912476
RPL39L,2.510538031,9.292720293,3.006243709,0.003123305,0.018269032,-2.150737345
