"Gene_Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"METTL10",0.56037721149924,8.75342885926723,8.8688100676639,2.64701717375034e-15,3.51204233968784e-11,24.1692579520204
"C1orf131",0.613442437119123,6.39013695990564,8.80811290664787,3.76323851024682e-15,3.51204233968784e-11,23.8322650757864
"TMEM97",0.456276829612852,6.79866757042752,8.64642381097193,9.57179981793259e-15,5.95525478672373e-11,22.9381087820901
"CCDC41",1.56959090945998,10.4868516215006,8.49092497919732,2.34569173899666e-14,1.09455840770932e-10,22.0796408778409
"MANF",1.57330500028713,10.7363457807985,8.37531435327909,4.54158085313041e-14,1.47392528257541e-10,21.446834344848
"PGGT1B",0.941564710837007,8.89060457990327,8.3678870749636,4.7380400189941e-14,1.47392528257541e-10,21.4062742144914
"OR7C2",0.422977943325169,8.52920224843228,8.30658330532156,6.69735991414932e-14,1.78580318282281e-10,21.0747380061679
"IFNA7",0.801526281177476,8.6654936988283,8.11462492817315,1.99118750276067e-13,4.6456893423785e-10,20.0312671205817
"ACSBG1",-0.632005174390804,8.94004232500821,-7.98579301391434,4.10446704043329e-13,8.25855621222638e-10,19.3385512918388
"UCN2",-0.622298129368427,12.9451500976229,-7.97240752269634,4.42462159776393e-13,8.25855621222638e-10,19.2666317978639
"MKRN3",1.31734592832192,9.94012525676325,7.91794826349404,6.01874981445916e-13,1.02127241169891e-09,18.9720817162381
"ESAM",-1.32057261107908,11.238047535008,-7.77192789320479,1.35859916177865e-12,2.11318777954987e-09,18.1926062547004
"ZFHX2",0.565676406633801,9.30633299030691,7.71504778992269,1.85833163831804e-12,2.66813538686202e-09,17.892691936079
"EDNRB",2.02977489763069,9.66993881359354,7.61827116079781,3.18030216136219e-12,4.19880403900685e-09,17.3784752867611
"ELOVL7",0.445713821711034,6.19342102453547,7.6071141334822,3.37434024029482e-12,4.19880403900685e-09,17.3217213295081
"CLDN19",1.31468198493967,10.0187147412571,7.56606881870848,4.23938175213781e-12,4.94550377522827e-09,17.1033753990892
"ATAD1",0.699972433562308,7.71772448630097,7.52478730515005,5.31072624974542e-12,5.83086502655872e-09,16.8877078439815
